code,system,short_title
3812.0,CPT,CPT code 3812.0 (short desc placeholder)
4516.0,CPT,CPT code 4516.0 (short desc placeholder)
3949.0,CPT,CPT code 3949.0 (short desc placeholder)
3722.0,CPT,CPT code 3722.0 (short desc placeholder)
5523.0,CPT,CPT code 5523.0 (short desc placeholder)
9962.0,CPT,CPT code 9962.0 (short desc placeholder)
8417.0,CPT,CPT code 8417.0 (short desc placeholder)
3613.0,CPT,CPT code 3613.0 (short desc placeholder)
9702.0,CPT,CPT code 9702.0 (short desc placeholder)
9464.0,CPT,CPT code 9464.0 (short desc placeholder)
3761.0,CPT,CPT code 3761.0 (short desc placeholder)
1733.0,CPT,CPT code 1733.0 (short desc placeholder)
124.0,CPT,CPT code 124.0 (short desc placeholder)
7931.0,CPT,CPT code 7931.0 (short desc placeholder)
9463.0,CPT,CPT code 9463.0 (short desc placeholder)
8944.0,CPT,CPT code 8944.0 (short desc placeholder)
9921.0,CPT,CPT code 9921.0 (short desc placeholder)
4513.0,CPT,CPT code 4513.0 (short desc placeholder)
7765.0,CPT,CPT code 7765.0 (short desc placeholder)
4525.0,CPT,CPT code 4525.0 (short desc placeholder)
8181.0,CPT,CPT code 8181.0 (short desc placeholder)
8876.0,CPT,CPT code 8876.0 (short desc placeholder)
5011.0,CPT,CPT code 5011.0 (short desc placeholder)
3320.0,CPT,CPT code 3320.0 (short desc placeholder)
5110.0,CPT,CPT code 5110.0 (short desc placeholder)
9607.0,CPT,CPT code 9607.0 (short desc placeholder)
3249.0,CPT,CPT code 3249.0 (short desc placeholder)
7936.0,CPT,CPT code 7936.0 (short desc placeholder)
5123.0,CPT,CPT code 5123.0 (short desc placeholder)
71.0,CPT,CPT code 71.0 (short desc placeholder)
3241.0,CPT,CPT code 3241.0 (short desc placeholder)
6816.0,CPT,CPT code 6816.0 (short desc placeholder)
3772.0,CPT,CPT code 3772.0 (short desc placeholder)
17.0,CPT,CPT code 17.0 (short desc placeholder)
5187.0,CPT,CPT code 5187.0 (short desc placeholder)
493.0,CPT,CPT code 493.0 (short desc placeholder)
370.0,CPT,CPT code 370.0 (short desc placeholder)
598.0,CPT,CPT code 598.0 (short desc placeholder)
5551.0,CPT,CPT code 5551.0 (short desc placeholder)
4523.0,CPT,CPT code 4523.0 (short desc placeholder)
3327.0,CPT,CPT code 3327.0 (short desc placeholder)
8152.0,CPT,CPT code 8152.0 (short desc placeholder)
5293.0,CPT,CPT code 5293.0 (short desc placeholder)
5361.0,CPT,CPT code 5361.0 (short desc placeholder)
5641.0,CPT,CPT code 5641.0 (short desc placeholder)
585.0,CPT,CPT code 585.0 (short desc placeholder)
9462.0,CPT,CPT code 9462.0 (short desc placeholder)
8112.0,CPT,CPT code 8112.0 (short desc placeholder)
5794.0,CPT,CPT code 5794.0 (short desc placeholder)
3895.0,CPT,CPT code 3895.0 (short desc placeholder)
9229.0,CPT,CPT code 9229.0 (short desc placeholder)
392.0,CPT,CPT code 392.0 (short desc placeholder)
3929.0,CPT,CPT code 3929.0 (short desc placeholder)
5301.0,CPT,CPT code 5301.0 (short desc placeholder)
4542.0,CPT,CPT code 4542.0 (short desc placeholder)
5101.0,CPT,CPT code 5101.0 (short desc placeholder)
881.0,CPT,CPT code 881.0 (short desc placeholder)
8751.0,CPT,CPT code 8751.0 (short desc placeholder)
9925.0,CPT,CPT code 9925.0 (short desc placeholder)
3972.0,CPT,CPT code 3972.0 (short desc placeholder)
6849.0,CPT,CPT code 6849.0 (short desc placeholder)
8622.0,CPT,CPT code 8622.0 (short desc placeholder)
8891.0,CPT,CPT code 8891.0 (short desc placeholder)
9390.0,CPT,CPT code 9390.0 (short desc placeholder)
8838.0,CPT,CPT code 8838.0 (short desc placeholder)
131.0,CPT,CPT code 131.0 (short desc placeholder)
8611.0,CPT,CPT code 8611.0 (short desc placeholder)
9955.0,CPT,CPT code 9955.0 (short desc placeholder)
3794.0,CPT,CPT code 3794.0 (short desc placeholder)
4573.0,CPT,CPT code 4573.0 (short desc placeholder)
5493.0,CPT,CPT code 5493.0 (short desc placeholder)
387.0,CPT,CPT code 387.0 (short desc placeholder)
688.0,CPT,CPT code 688.0 (short desc placeholder)
5491.0,CPT,CPT code 5491.0 (short desc placeholder)
5459.0,CPT,CPT code 5459.0 (short desc placeholder)
5185.0,CPT,CPT code 5185.0 (short desc placeholder)
4610.0,CPT,CPT code 4610.0 (short desc placeholder)
9444.0,CPT,CPT code 9444.0 (short desc placeholder)
6859.0,CPT,CPT code 6859.0 (short desc placeholder)
9961.0,CPT,CPT code 9961.0 (short desc placeholder)
3783.0,CPT,CPT code 3783.0 (short desc placeholder)
8893.0,CPT,CPT code 8893.0 (short desc placeholder)
5451.0,CPT,CPT code 5451.0 (short desc placeholder)
3521.0,CPT,CPT code 3521.0 (short desc placeholder)
8774.0,CPT,CPT code 8774.0 (short desc placeholder)
3979.0,CPT,CPT code 3979.0 (short desc placeholder)
82.0,CPT,CPT code 82.0 (short desc placeholder)
8165.0,CPT,CPT code 8165.0 (short desc placeholder)
3781.0,CPT,CPT code 3781.0 (short desc placeholder)
3712.0,CPT,CPT code 3712.0 (short desc placeholder)
3723.0,CPT,CPT code 3723.0 (short desc placeholder)
9604.0,CPT,CPT code 9604.0 (short desc placeholder)
6549.0,CPT,CPT code 6549.0 (short desc placeholder)
8180.0,CPT,CPT code 8180.0 (short desc placeholder)
9339.0,CPT,CPT code 9339.0 (short desc placeholder)
339.0,CPT,CPT code 339.0 (short desc placeholder)
3927.0,CPT,CPT code 3927.0 (short desc placeholder)
8941.0,CPT,CPT code 8941.0 (short desc placeholder)
3971.0,CPT,CPT code 3971.0 (short desc placeholder)
5305.0,CPT,CPT code 5305.0 (short desc placeholder)
503.0,CPT,CPT code 503.0 (short desc placeholder)
4443.0,CPT,CPT code 4443.0 (short desc placeholder)
391.0,CPT,CPT code 391.0 (short desc placeholder)
7915.0,CPT,CPT code 7915.0 (short desc placeholder)
4233.0,CPT,CPT code 4233.0 (short desc placeholder)
8871.0,CPT,CPT code 8871.0 (short desc placeholder)
9435.0,CPT,CPT code 9435.0 (short desc placeholder)
9907.0,CPT,CPT code 9907.0 (short desc placeholder)
3899.0,CPT,CPT code 3899.0 (short desc placeholder)
8628.0,CPT,CPT code 8628.0 (short desc placeholder)
5732.0,CPT,CPT code 5732.0 (short desc placeholder)
4685.0,CPT,CPT code 4685.0 (short desc placeholder)
311.0,CPT,CPT code 311.0 (short desc placeholder)
5304.0,CPT,CPT code 5304.0 (short desc placeholder)
9226.0,CPT,CPT code 9226.0 (short desc placeholder)
8339.0,CPT,CPT code 8339.0 (short desc placeholder)
4942.0,CPT,CPT code 4942.0 (short desc placeholder)
8166.0,CPT,CPT code 8166.0 (short desc placeholder)
8541.0,CPT,CPT code 8541.0 (short desc placeholder)
8108.0,CPT,CPT code 8108.0 (short desc placeholder)
5569.0,CPT,CPT code 5569.0 (short desc placeholder)
8856.0,CPT,CPT code 8856.0 (short desc placeholder)
5059.0,CPT,CPT code 5059.0 (short desc placeholder)
8411.0,CPT,CPT code 8411.0 (short desc placeholder)
9705.0,CPT,CPT code 9705.0 (short desc placeholder)
3734.0,CPT,CPT code 3734.0 (short desc placeholder)
4292.0,CPT,CPT code 4292.0 (short desc placeholder)
605.0,CPT,CPT code 605.0 (short desc placeholder)
4543.0,CPT,CPT code 4543.0 (short desc placeholder)
8604.0,CPT,CPT code 8604.0 (short desc placeholder)
9465.0,CPT,CPT code 9465.0 (short desc placeholder)
8741.0,CPT,CPT code 8741.0 (short desc placeholder)
8111.0,CPT,CPT code 8111.0 (short desc placeholder)
8135.0,CPT,CPT code 8135.0 (short desc placeholder)
5122.0,CPT,CPT code 5122.0 (short desc placeholder)
5351.0,CPT,CPT code 5351.0 (short desc placeholder)
9425.0,CPT,CPT code 9425.0 (short desc placeholder)
8954.0,CPT,CPT code 8954.0 (short desc placeholder)
4701.0,CPT,CPT code 4701.0 (short desc placeholder)
8905.0,CPT,CPT code 8905.0 (short desc placeholder)
5411.0,CPT,CPT code 5411.0 (short desc placeholder)
7939.0,CPT,CPT code 7939.0 (short desc placeholder)
4574.0,CPT,CPT code 4574.0 (short desc placeholder)
9920.0,CPT,CPT code 9920.0 (short desc placeholder)
9915.0,CPT,CPT code 9915.0 (short desc placeholder)
8415.0,CPT,CPT code 8415.0 (short desc placeholder)
1736.0,CPT,CPT code 1736.0 (short desc placeholder)
7937.0,CPT,CPT code 7937.0 (short desc placeholder)
2101.0,CPT,CPT code 2101.0 (short desc placeholder)
415.0,CPT,CPT code 415.0 (short desc placeholder)
3699.0,CPT,CPT code 3699.0 (short desc placeholder)
3611.0,CPT,CPT code 3611.0 (short desc placeholder)
4438.0,CPT,CPT code 4438.0 (short desc placeholder)
8945.0,CPT,CPT code 8945.0 (short desc placeholder)
5184.0,CPT,CPT code 5184.0 (short desc placeholder)
6021.0,CPT,CPT code 6021.0 (short desc placeholder)
7171.0,CPT,CPT code 7171.0 (short desc placeholder)
9204.0,CPT,CPT code 9204.0 (short desc placeholder)
8321.0,CPT,CPT code 8321.0 (short desc placeholder)
8965.0,CPT,CPT code 8965.0 (short desc placeholder)
554.0,CPT,CPT code 554.0 (short desc placeholder)
8107.0,CPT,CPT code 8107.0 (short desc placeholder)
8659.0,CPT,CPT code 8659.0 (short desc placeholder)
214.0,CPT,CPT code 214.0 (short desc placeholder)
6563.0,CPT,CPT code 6563.0 (short desc placeholder)
